Country,Country Code,1990,2000,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Afghanistan,AFG,12412311,20779957,31161378,32269592,33370804,34413603,35383028,36296111,37171922,38041757,38928341,..
Albania,ALB,3286542,3089027,2900401,2895092,2889104,2880703,2876101,2873457,2866376,2854191,2837849,..
Algeria,DZA,25758872,31042238,37383899,38140135,38923688,39728020,40551398,41389174,42228415,43053054,43851043,..
American Samoa,ASM,47351,57816,55669,55717,55791,55806,55739,55617,55461,55312,55197,..
Andorra,AND,54508,65390,82427,80770,79213,77993,77295,76997,77008,77146,77265,..
Angola,AGO,11848385,16395477,25107925,26015786,26941773,27884380,28842482,29816769,30809787,31825299,32866268,..
Antigua and Barbuda,ATG,62533,76007,90407,91510,92562,93571,94520,95425,96282,97115,97928,..
Argentina,ARG,32618648,36870796,41733271,42202935,42669500,43131966,43590368,44044811,44494502,44938712,45376763,..
Armenia,ARM,3538164,3069597,2884239,2897593,2912403,2925559,2936147,2944789,2951741,2957728,2963234,..
Aruba,ABW,62152,90866,102565,103165,103776,104339,104865,105361,105846,106310,106766,..
Australia,AUS,17065100,19153000,22733465,23128129,23475686,23815995,24190907,24601860,24982688,25365745,25693267,..
Austria,AUT,7677850,8011566,8429991,8479823,8546356,8642699,8736668,8797566,8840521,8879920,8916864,..
Azerbaijan,AZE,7175200,8048600,9295784,9416801,9535079,9649341,9757812,9854033,9939771,10024283,10093121,..
"Bahamas, The",BHS,256227,298045,363581,367162,370625,374200,377923,381749,385635,389486,393248,..
Bahrain,BHR,495927,664610,1299942,1315029,1336073,1371853,1425793,1494077,1569440,1641164,1701583,..
Bangladesh,BGD,103171957,127657862,151005733,152761413,154517385,156256287,157977151,159685421,161376713,163046173,164689383,..
Barbados,BRB,260933,271511,283698,284294,284825,285327,285798,286229,286640,287021,287371,..
Belarus,BLR,10189348,9979610,9446836,9443211,9448515,9461076,9469379,9458989,9438785,9419758,9379952,..
Belgium,BEL,9967379,10251250,11106932,11159407,11209057,11274196,11331422,11375158,11427054,11488980,11544241,..
Belize,BLZ,187554,247310,338001,345707,353366,360926,368399,375775,383071,390351,397621,..
Benin,BEN,4978489,6865946,9729254,10004594,10286839,10575962,10872072,11175192,11485035,11801151,12123198,..
Bermuda,BMU,59326,61833,64798,65001,65138,65237,64554,63873,63919,63913,63903,..
Bhutan,BTN,530801,591014,701582,710235,719053,727885,736706,745563,754396,763094,771612,..
Bolivia,BOL,6864839,8418270,10377677,10542375,10706517,10869732,11031822,11192853,11353140,11513102,11673029,..
Bosnia and Herzegovina,BIH,4463422,3751176,3604972,3542598,3482106,3429362,3386263,3351534,3323929,3300998,3280815,..
Botswana,BWA,1286756,1643333,2039551,2062551,2088619,2120716,2159925,2205076,2254067,2303703,2351625,..
Brazil,BRA,149003225,174790339,199287292,201035904,202763744,204471759,206163056,207833825,209469320,211049519,212559409,..
British Virgin Islands,VGB,17489,20313,28654,28850,28985,29148,29355,29567,29795,30033,30237,..
Brunei Darussalam,BRN,258714,333166,398997,404414,409778,414914,419791,424481,428960,433296,437483,..
Bulgaria,BGR,8718289,8170172,7305888,7265115,7223938,7177991,7127822,7075947,7025037,6975761,6934015,..
Burkina Faso,BFA,8811033,11607951,16571252,17072791,17586029,18110616,18646350,19193236,19751466,20321383,20903278,..
Burundi,BDI,5438959,6378871,9245992,9540302,9844301,10160034,10488002,10827010,11175379,11530577,11890781,..
Cabo Verde,CPV,337953,428178,505241,511740,518276,524740,531140,537499,543764,549936,555988,..
Cambodia,KHM,8975597,12155241,14780454,15026330,15274506,15521435,15766290,16009413,16249795,16486542,16718971,..
Cameroon,CMR,11780086,15513944,21485267,22077300,22681853,23298376,23926549,24566070,25216261,25876387,26545864,..
Canada,CAN,27691138,30685730,34714222,35082954,35437435,35702908,36109487,36545236,37065084,37601230,38037204,..
Cayman Islands,CYM,25307,42305,58963,59933,60848,61721,62564,63382,64172,64948,65720,..
Central African Republic,CAF,2806740,3640421,4436411,4447945,4464171,4493171,4537683,4596023,4666375,4745179,4829764,..
Chad,TCD,5963250,8355654,12784748,13220433,13663562,14110971,14561658,15016761,15477727,15946882,16425859,..
Channel Islands,CHI,140677,148439,162051,163039,164107,165387,166922,168666,170496,172264,173859,..
Chile,CHL,13274617,15342350,17400359,17571511,17758969,17969356,18209072,18470435,18729166,18952035,19116209,..
China,CHN,1135185000,1262645000,1354190000,1363240000,1371860000,1379860000,1387790000,1396215000,1402760000,1407745000,1410929362,..
Colombia,COL,33102569,39629965,46075721,46495492,46967706,47520667,48175048,48909844,49661056,50339443,50882884,..
Comoros,COM,411598,542358,723865,741511,759390,777435,795597,813890,832322,850891,869595,..
"Congo, Dem. Rep.",COD,34612023,47105830,69020749,71358804,73767445,76244532,78789130,81398765,84068092,86790568,89561404,..
"Congo, Rep.",COG,2356740,3127420,4510197,4622757,4736965,4856093,4980996,5110701,5244363,5380504,5518092,..
Costa Rica,CRI,3119436,3962369,4688003,4742111,4795390,4847805,4899336,4949955,4999443,5047561,5094114,..
Cote d'Ivoire,CIV,11924873,16454660,21547188,22087506,22647672,23226148,23822726,24437475,25069226,25716554,26378275,..
Croatia,HRV,4777368,4468302,4267558,4255689,4238389,4203604,4174349,4124531,4087843,4065253,4047680,..
Cuba,CUB,10596986,11126423,11257112,11282722,11306909,11324777,11335108,11339255,11338146,11333484,11326616,..
Curacao,CUW,145400,133860,152088,153822,155909,157980,159664,160175,159336,157441,154947,..
Cyprus,CYP,766616,943288,1135046,1143866,1152297,1160987,1170189,1179685,1189262,1198574,1207361,..
Czech Republic,CZE,10333355,10255063,10510785,10514272,10525347,10546059,10566332,10594438,10629928,10671870,10697858,..
Denmark,DNK,5140939,5339616,5591572,5614932,5643475,5683483,5728010,5764980,5793636,5814422,5831404,..
Djibouti,DJI,590393,717577,868136,883296,898707,913998,929117,944100,958923,973557,988002,..
Dominica,DMA,70422,69650,70954,71019,71091,71175,71307,71460,71626,71808,71991,..
Dominican Republic,DOM,7133491,8471317,9930916,10048226,10165182,10281675,10397738,10513111,10627147,10738957,10847904,..
Ecuador,ECU,10230931,12681123,15474099,15707473,15951832,16212022,16491116,16785356,17084359,17373657,17643060,..
"Egypt, Arab Rep.",EGY,56134478,68831561,86422240,88404652,90424668,92442549,94447071,96442590,98423602,100388076,102334403,..
El Salvador,SLV,5270074,5887930,6237922,6266076,6295124,6325121,6356137,6388124,6420740,6453550,6486201,..
Equatorial Guinea,GNQ,419188,606180,1031191,1076412,1122273,1168575,1215181,1262008,1308966,1355982,1402985,..
Eritrea,ERI,2258649,2292413,..,..,..,..,..,..,..,..,..,..
Estonia,EST,1569174,1396985,1322696,1317997,1314545,1315407,1315790,1317384,1321977,1326855,1329479,..
Eswatini,SWZ,822423,1005432,1079285,1086843,1095022,1104038,1113994,1124808,1136274,1148133,1160164,..
Ethiopia,ETH,47887864,66224809,92726982,95385793,98094264,100835453,103603461,106399926,109224410,112078727,114963583,..
Faroe Islands,FRO,47276,46738,47843,47901,47965,48055,48173,48326,48497,48677,48865,..
Fiji,FJI,728575,811011,865065,865602,866447,868632,872406,877460,883490,889955,896444,..
Finland,FIN,4986431,5176209,5413971,5438972,5461512,5479531,5495303,5508214,5515525,5521606,5529543,..
France,FRA,58235716,60912500,65659814,65998685,66312067,66548272,66724104,66918020,67101930,67248926,67379908,..
French Polynesia,PYF,199906,240681,268995,270332,271713,273119,274576,276108,277673,279285,280904,..
Gabon,GAB,949493,1228359,1749677,1817070,1883801,1947690,2007882,2064812,2119275,2172578,2225728,..
"Gambia, The",GMB,955595,1317708,1905020,1963708,2024037,2085860,2149134,2213900,2280092,2347696,2416664,..
Georgia,GEO,4802000,4077131,3728874,3717668,3719414,3725276,3727505,3728004,3726549,3720161,3722716,..
Germany,DEU,79433029,82211508,80425823,80645605,80982500,81686611,82348669,82657002,82905782,83092962,83160871,..
Ghana,GHA,14773274,19278850,25996454,26607641,27224480,27849203,28481947,29121464,29767108,30417858,31072945,..
Gibraltar,GIB,29149,31081,33653,33694,33726,33742,33738,33723,33715,33706,33691,..
Greece,GRC,10196792,10805808,11045011,10965211,10892413,10820883,10775971,10754679,10732882,10721582,10700556,..
Greenland,GRL,55600,56200,56810,56483,56295,56114,56186,56171,56023,56225,56367,..
